d3mIndex,Player,Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position,Hall_of_Fame
0,HANK_AARON,23,3298,12364,2174,3771,624,98,755,2297,1402,1383.0,0.305,0.377,0.555,0.98,Outfield,1
1,JERRY_ADAIR,13,1165,4019,378,1022,163,19,57,366,208,499.0,0.254,0.294,0.34700000000000003,0.985,Second_base,0
3,BOBBY_ADAMS,14,1281,4019,591,1082,188,49,37,303,414,447.0,0.26899999999999996,0.34,0.368,0.955,Third_base,0
4,JOE_ADCOCK,17,1959,6606,823,1832,295,35,336,1122,594,1059.0,0.27699999999999997,0.33899999999999997,0.485,0.9940000000000001,First_base,0
5,TOMMIE_AGEE,12,1129,3912,558,999,170,27,130,433,342,918.0,0.255,0.321,0.41200000000000003,0.975,Outfield,0
6,LUIS_AGUAYO,10,568,1104,142,260,43,10,37,109,94,220.0,0.23600000000000002,0.307,0.39299999999999996,0.96,Shortstop,0
7,EDDIE_AINSMITH,15,1078,3048,299,707,108,54,22,317,263,315.0,0.23199999999999998,0.29600000000000004,0.324,0.966,Catcher,0
8,BERNIE_ALLEN,12,1139,3404,357,815,140,21,73,351,370,424.0,0.239,0.315,0.35700000000000004,0.98,Second_base,0
10,DICK_ALLEN,15,1749,6332,1099,1848,320,79,351,1119,894,1556.0,0.292,0.381,0.534,0.9890000000000001,First_base,0
11,GENE_ALLEY,11,1195,3927,442,999,140,44,55,342,300,622.0,0.254,0.312,0.354,0.97,Shortstop,0
12,BOB_ALLISON,13,1541,5032,811,1281,216,53,256,796,795,1033.0,0.255,0.36,0.47100000000000003,0.975,Outfield,0
13,BILL_ALMON,15,1236,3330,390,846,138,25,36,296,250,636.0,0.254,0.307,0.34299999999999997,0.956,Shortstop,0
16,JESUS_ALOU,15,1380,4345,448,1216,170,26,32,377,138,267.0,0.28,0.307,0.353,0.968,Outfield,0
17,MATTY_ALOU,15,1667,5789,780,1777,236,50,31,427,311,377.0,0.307,0.34600000000000003,0.381,0.9790000000000001,Outfield,0
