d3mIndex,class
0,18.0
3,16.0
5,15.0
9,15.0
15,22.0
18,27.0
22,25.0
25,10.0
30,28.0
31,25.0
33,19.0
39,14.0
42,12.0
45,18.0
46,22.0
55,27.0
56,26.0
57,24.0
63,14.0
70,13.0
72,15.0
73,13.0
75,14.0
76,18.0
77,22.0
78,21.0
82,23.0
84,27.0
90,12.0
93,14.0
94,13.0
101,23.0
104,12.0
108,20.0
113,21.0
114,26.0
116,16.0
118,24.0
124,11.0
126,21.0
132,25.0
140,14.0
141,29.0
148,26.0
152,19.0
158,16.0
168,23.0
172,25.0
175,29.0
177,23.0
180,25.0
181,33.0
196,24.5
198,33.0
208,13.0
210,19.0
218,36.0
222,17.0
225,17.5
229,16.0
231,15.5
234,24.5
238,33.5
246,32.8
248,36.1
249,19.9
261,18.1
262,19.2
272,23.8
275,17.0
280,21.5
285,17.0
292,18.5
294,34.1
298,23.0
307,26.8
312,37.2
318,29.8
323,27.9
334,23.7
337,32.4
341,23.5
350,34.7
351,34.4
352,29.9
367,28.0
370,31.0
371,29.0
373,24.0
375,36.0
376,37.0
377,31.0
378,38.0
380,36.0
383,38.0
386,25.0
389,22.0
393,27.0
394,44.0
396,28.0
