d3mIndex,cylinders,displacement,horsepower,weight,acceleration,model,origin,class
1,8,350.0,165.0,3693.0,11.5,70,1,15.0
2,8,318.0,150.0,3436.0,11.0,70,1,18.0
4,8,302.0,140.0,3449.0,10.5,70,1,17.0
6,8,454.0,220.0,4354.0,9.0,70,1,14.0
7,8,440.0,215.0,4312.0,8.5,70,1,14.0
8,8,455.0,225.0,4425.0,10.0,70,1,14.0
10,8,383.0,170.0,3563.0,10.0,70,1,15.0
11,8,340.0,160.0,3609.0,8.0,70,1,14.0
12,8,400.0,150.0,3761.0,9.5,70,1,15.0
13,8,455.0,225.0,3086.0,10.0,70,1,14.0
14,4,113.0,95.0,2372.0,15.0,70,3,24.0
16,6,199.0,97.0,2774.0,15.5,70,1,18.0
17,6,200.0,85.0,2587.0,16.0,70,1,21.0
19,4,97.0,46.0,1835.0,20.5,70,2,26.0
20,4,110.0,87.0,2672.0,17.5,70,2,25.0
21,4,107.0,90.0,2430.0,14.5,70,2,24.0
23,4,121.0,113.0,2234.0,12.5,70,2,26.0
24,6,199.0,90.0,2648.0,15.0,70,1,21.0
26,8,307.0,200.0,4376.0,15.0,70,1,10.0
27,8,318.0,210.0,4382.0,13.5,70,1,11.0
28,8,304.0,193.0,4732.0,18.5,70,1,9.0
29,4,97.0,88.0,2130.0,14.5,71,3,27.0
32,4,98.0,,2046.0,19.0,71,1,25.0
34,6,225.0,105.0,3439.0,15.5,71,1,16.0
35,6,250.0,100.0,3329.0,15.5,71,1,17.0
36,6,250.0,88.0,3302.0,15.5,71,1,19.0
37,6,232.0,100.0,3288.0,15.5,71,1,18.0
38,8,350.0,165.0,4209.0,12.0,71,1,14.0
40,8,351.0,153.0,4154.0,13.5,71,1,14.0
41,8,318.0,150.0,4096.0,13.0,71,1,14.0
43,8,400.0,170.0,4746.0,12.0,71,1,13.0
44,8,400.0,175.0,5140.0,12.0,71,1,13.0
47,6,250.0,100.0,3282.0,15.0,71,1,19.0
48,6,250.0,88.0,3139.0,14.5,71,1,18.0
49,4,122.0,86.0,2220.0,14.0,71,1,23.0
50,4,116.0,90.0,2123.0,14.0,71,2,28.0
51,4,79.0,70.0,2074.0,19.5,71,2,30.0
52,4,88.0,76.0,2065.0,14.5,71,2,30.0
53,4,71.0,65.0,1773.0,19.0,71,3,31.0
54,4,72.0,69.0,1613.0,18.0,71,3,35.0
58,4,97.5,80.0,2126.0,17.0,72,1,25.0
59,4,97.0,54.0,2254.0,23.5,72,2,23.0
60,4,140.0,90.0,2408.0,19.5,72,1,20.0
61,4,122.0,86.0,2226.0,16.5,72,1,21.0
62,8,350.0,165.0,4274.0,12.0,72,1,13.0
64,8,318.0,150.0,4135.0,13.5,72,1,15.0
65,8,351.0,153.0,4129.0,13.0,72,1,14.0
66,8,304.0,150.0,3672.0,11.5,72,1,17.0
67,8,429.0,208.0,4633.0,11.0,72,1,11.0
68,8,350.0,155.0,4502.0,13.5,72,1,13.0
69,8,350.0,160.0,4456.0,13.5,72,1,12.0
71,3,70.0,97.0,2330.0,13.5,72,3,19.0
74,8,302.0,140.0,4294.0,16.0,72,1,13.0
79,4,96.0,69.0,2189.0,18.0,72,2,26.0
80,4,122.0,86.0,2395.0,16.0,72,1,22.0
81,4,97.0,92.0,2288.0,17.0,72,3,28.0
83,4,98.0,80.0,2164.0,15.0,72,1,28.0
85,8,350.0,175.0,4100.0,13.0,73,1,13.0
86,8,304.0,150.0,3672.0,11.5,73,1,14.0
87,8,350.0,145.0,3988.0,13.0,73,1,13.0
88,8,302.0,137.0,4042.0,14.5,73,1,14.0
89,8,318.0,150.0,3777.0,12.5,73,1,15.0
91,8,400.0,150.0,4464.0,12.0,73,1,13.0
92,8,351.0,158.0,4363.0,13.0,73,1,13.0
95,8,455.0,225.0,4951.0,11.0,73,1,12.0
96,8,360.0,175.0,3821.0,11.0,73,1,13.0
97,6,225.0,105.0,3121.0,16.5,73,1,18.0
98,6,250.0,100.0,3278.0,18.0,73,1,16.0
99,6,232.0,100.0,2945.0,16.0,73,1,18.0
100,6,250.0,88.0,3021.0,16.5,73,1,18.0
102,4,97.0,46.0,1950.0,21.0,73,2,26.0
103,8,400.0,150.0,4997.0,14.0,73,1,11.0
105,8,360.0,170.0,4654.0,13.0,73,1,13.0
106,8,350.0,180.0,4499.0,12.5,73,1,12.0
107,6,232.0,100.0,2789.0,15.0,73,1,18.0
109,4,140.0,72.0,2401.0,19.5,73,1,21.0
110,4,108.0,94.0,2379.0,16.5,73,3,22.0
111,3,70.0,90.0,2124.0,13.5,73,3,18.0
112,4,122.0,85.0,2310.0,18.5,73,1,19.0
115,8,350.0,145.0,4082.0,13.0,73,1,15.0
117,4,68.0,49.0,1867.0,19.5,73,2,29.0
119,4,114.0,91.0,2582.0,14.0,73,2,20.0
120,4,121.0,112.0,2868.0,15.5,73,2,19.0
121,8,318.0,150.0,3399.0,11.0,73,1,15.0
122,4,121.0,110.0,2660.0,14.0,73,2,24.0
123,6,156.0,122.0,2807.0,13.5,73,3,20.0
125,6,198.0,95.0,3102.0,16.5,74,1,20.0
127,6,232.0,100.0,2901.0,16.0,74,1,19.0
128,6,250.0,100.0,3336.0,17.0,74,1,15.0
129,4,79.0,67.0,1950.0,19.0,74,3,31.0
130,4,122.0,80.0,2451.0,16.5,74,1,26.0
131,4,71.0,65.0,1836.0,21.0,74,3,32.0
133,6,250.0,100.0,3781.0,17.0,74,1,16.0
134,6,258.0,110.0,3632.0,18.0,74,1,16.0
135,6,225.0,105.0,3613.0,16.5,74,1,18.0
136,8,302.0,140.0,4141.0,14.0,74,1,16.0
137,8,350.0,150.0,4699.0,14.5,74,1,13.0
138,8,318.0,150.0,4457.0,13.5,74,1,14.0
139,8,302.0,140.0,4638.0,16.0,74,1,14.0
142,4,79.0,67.0,1963.0,15.5,74,2,26.0
143,4,97.0,78.0,2300.0,14.5,74,2,26.0
144,4,76.0,52.0,1649.0,16.5,74,3,31.0
145,4,83.0,61.0,2003.0,19.0,74,3,32.0
146,4,90.0,75.0,2125.0,14.5,74,1,28.0
147,4,90.0,75.0,2108.0,15.5,74,2,24.0
149,4,120.0,97.0,2489.0,15.0,74,3,24.0
150,4,108.0,93.0,2391.0,15.5,74,3,26.0
151,4,79.0,67.0,2000.0,16.0,74,2,31.0
153,6,250.0,105.0,3459.0,16.0,75,1,18.0
154,6,250.0,72.0,3432.0,21.0,75,1,15.0
155,6,250.0,72.0,3158.0,19.5,75,1,15.0
156,8,400.0,170.0,4668.0,11.5,75,1,16.0
157,8,350.0,145.0,4440.0,14.0,75,1,15.0
159,8,351.0,148.0,4657.0,13.5,75,1,14.0
160,6,231.0,110.0,3907.0,21.0,75,1,17.0
161,6,250.0,105.0,3897.0,18.5,75,1,16.0
162,6,258.0,110.0,3730.0,19.0,75,1,15.0
163,6,225.0,95.0,3785.0,19.0,75,1,18.0
